Date,Odometer,Service Category,Description,Shop,Location,Cost,Notes / Source (PDF Page)
Unknown (pre-2011),Unknown,AC System - R12 to R134A Conversion,"Replaced AC compressor, accumulator, orifice tube; flushed system; vacuumed; charged with R134A refrigerant & system oil; ALH-2 R12-to-R134A conversion kit installed",Righteous Motor Works,110 Thompson Dr (417-322-3235),$247.99 (est.),"Previous owner: Richard Sanders (870-426-5180). Date unreadable on scan. Pg 28"
Unknown (pre-2011),Unknown,AC System - Compressor Replacement,"Replaced defective AC compressor assembly, recharged system with R134A; flushed all lines; replaced O-rings; repaired bad ground to relay",Righteous Motor Works,110 Thompson Dr (417-322-3235),$164.00 (est.),"Previous owner: Richard Sanders (870-302-3832). Date unreadable on scan. Pg 29"
01/10/2011 (est.),Unknown,Oil & Lube + Distributor,"Lube & oil change; replaced distributor O-ring; chains noted",Righteous Motor Works,110 Thompson Dr (417-322-3235),$15.00 (est.),"Owner: Lona Yandell. Date partially legible - approx Jan 10 2011. Pg 27"
08/11/2011,5850,Battery Replacement,"Battery replaced (Group 26-5S $49.97); battery service; all 4 tire pressures checked at 26 PSI; tread depth 3-4/32 noted",Walmart Auto Center,1417 Highway 62-65N Harrison AR (870-365-8400),$49.97,"Owner: Lona Yandell. Low tread depth noted at time of service. Pg 4"
Unknown (est. 2011-2013),Unknown,Soft Top / Interior - Fabric,"Moonroof/convertible top fabric replacement; supplies",Branson Upholstery,"P.O. Box 1093, 922 Rinehart Road, Branson MO 65615 (417-336-5543)",$213.66,"Owner: Lona Yandell (870-426-3386). Date unreadable on scan. Pg 30"
07/03/2013,Unknown,Interior - Upholstery,"Replaced driver and passenger back seat pad inserts",Rags to Riches Upholstery,"Hollister MO 65673 (417-335-6607)",$200.00,"Owner in Hollister/Branson MO area at that time. Pg 3"
04/04/2017 (est.),Unknown,Spark Plugs,"3x NGK 7733 Copper Spark Plugs (3-cylinder engine)",J. Kelly Auto Parts (via College of the Ozarks account),"225 Southtowne Blvd, Hollister MO 65672 / Springfield MO",$8.08,"Plugs purchased for 1990 Geo Metro 3-cyl engine. Receipt billed through College of the Ozarks student account. Invoice date 4/04/17. Pg 31"
07/05/2017,131834,Oil Lube & Filter Change,"Lube, oil & filter change; fluids topped off",Wood Motor Company (Chevrolet),"Hwy 62-65 Bypass, Harrison AR 72601 (870-741-8211)",$33.74,"⚠️ Tech note: vehicle has oil leaks - needs diagnosis for proper pricing of repairs. Pg 7"
11/17/2017,134928,Oil Lube & Filter Change,"Lube, oil & filter change; fluids topped off; multi-point inspection",Wood Motor Company (Chevrolet),"Hwy 62-65 Bypass, Harrison AR 72601 (870-741-8211)",$35.92,"Owner: Lona Yandell. Pg 26"
12/12/2017,Unknown,Battery Replacement,"Battery replaced (G26 525ca 60-month/12-month free replacement warranty)",Harrison Battery & Tire,"1005 N. Main Street, Harrison AR 72601 (870-741-7041)",$81.75,"Owner: Lona Yandell. Pg 1 & 2"
